MAG,LAT,LON,DEPTH,EVID
3.1100,35.0320,-118.9970,10.9000,3219228
3.1000,36.3060,-120.3850,6.0000,3219250
4.0000,36.5930,-121.1960,8.0000,3219331
3.0800,34.9350,-120.8680,6.0000,3219378
3.1200,34.0140,-116.3260,5.3000,3219392
3.0000,37.5510,-118.8350,7.0000,3219599
3.8100,37.5770,-118.7080,6.0000,2209657
3.2500,36.0260,-117.8850,5.2000,3221751
3.3800,37.5920,-118.9370,6.0000,3222194
3.0000,37.5190,-118.7890,9.0000,3222223
3.4000,37.5850,-118.7520,6.0000,3222226
3.6400,33.5410,-116.6900,8.6000,3222372
4.0000,37.1070,-116.4150,6.0000,3222692
3.1000,38.8380,-118.0640,5.0000,3222929
3.4200,32.1490,-116.7180,6.0000,3223743
3.8300,37.5120,-118.8680,6.0000,3223767
3.1500,36.0150,-117.8170,0.3000,3223908
3.1000,37.1110,-120.9960,5.0000,3223936
3.2700,34.2380,-119.6460,19.2000,3224045
3.4500,32.3170,-115.2590,6.0000,3224050
3.3400,36.4290,-120.0740,6.0000,3224116
3.2500,33.9850,-116.9040,10.1000,3224351
3.1100,35.7850,-118.0340,5.8000,3224697
3.0000,33.7810,-116.9220,12.1000,3224709
3.4000,34.1700,-116.4590,9.6000,3224779
3.1500,34.9310,-116.9150,4.0000,3225073
5.3600,35.7760,-117.6620,5.6000,3225143
4.3200,35.7900,-117.6790,6.0000,3225237
3.9000,35.7840,-117.6640,6.3000,3225210
3.1600,35.7810,-117.6790,10.5000,3225146
3.4900,35.7640,-117.6610,9.6000,3225173
3.0800,35.7770,-117.6740,10.5000,3225177
3.0200,35.7820,-117.6740,9.8000,3225179
3.0700,35.7810,-117.6590,8.1000,3225187
3.2100,35.7900,-117.6640,7.5000,3225252
3.3400,35.7840,-117.6650,8.3000,3225288
3.0800,35.7830,-117.6630,7.5000,3225312
3.4800,35.7700,-117.6530,5.5000,3225323
3.4000,35.7870,-117.6570,6.4000,3225357
3.0200,35.7820,-117.6730,9.5000,3225363
3.1000,33.4040,-116.4330,12.7000,3225827
3.1100,35.7790,-117.6490,5.5000,3225947
3.3900,35.7750,-117.6560,7.8000,3227262
3.3500,37.5820,-118.8690,6.0000,3227503
3.4600,35.0290,-116.9640,6.5000,3227650
3.3700,34.3650,-118.2910,2.9000,3227753
3.3200,34.3660,-118.2960,3.2000,3227787
3.1000,36.7290,-121.3860,3.0000,3227872
3.5000,36.6910,-121.3180,7.0000,3228414
3.3000,36.6920,-121.3000,4.0000,3228415
3.4000,36.6920,-121.3180,6.0000,3228419
4.2100,35.7910,-117.6410,5.0000,3228523
3.9700,35.7960,-117.6400,3.4000,3228530
3.8500,35.7930,-117.6440,5.2000,3228626
3.0400,35.0250,-118.9940,11.7000,3228670
3.3000,38.7510,-122.7080,3.0000,3228883
3.2500,35.7840,-117.6720,9.1000,3229203
